,Time,CGM,Meal,Insulin_Basal,Insulin_Bolus
81,2024-01-01 04:06:00,39.0,0.0,0.0,0.0
82,2024-01-01 04:09:00,39.0,0.0,0.0,0.0
83,2024-01-01 04:12:00,39.0,0.0,0.0,0.0
84,2024-01-01 04:15:00,39.0,0.0,0.0,0.0
85,2024-01-01 04:18:00,39.0,0.0,0.0,0.0
86,2024-01-01 04:21:00,39.0,0.0,0.0,0.0
87,2024-01-01 04:24:00,39.0,0.0,0.0,0.0
88,2024-01-01 04:27:00,39.0,0.0,0.0,0.0
89,2024-01-01 04:30:00,39.0,0.0,0.0,0.0
90,2024-01-01 04:33:00,39.0,0.0,0.0,0.0
91,2024-01-01 04:36:00,39.0,0.0,0.0,0.0
92,2024-01-01 04:39:00,39.0,0.0,0.0,0.0
93,2024-01-01 04:42:00,39.0,0.0,0.0,0.0
94,2024-01-01 04:45:00,39.0,0.0,0.0,0.0
95,2024-01-01 04:48:00,39.0,0.0,0.0,0.0
96,2024-01-01 04:51:00,39.0,0.0,0.0,0.0
97,2024-01-01 04:54:00,39.0,0.0,0.0,0.0
98,2024-01-01 04:57:00,39.0,0.0,0.0,0.0
99,2024-01-01 05:00:00,39.0,0.0,0.0,0.0
100,2024-01-01 05:03:00,39.0,0.0,0.0,0.0
101,2024-01-01 05:06:00,39.0,0.0,0.0,0.0
102,2024-01-01 05:09:00,39.0,0.0,0.0,0.0
103,2024-01-01 05:12:00,39.0,0.0,0.0,0.0
104,2024-01-01 05:15:00,39.0,0.0,0.0,0.0
105,2024-01-01 05:18:00,39.0,0.0,0.0,0.0
106,2024-01-01 05:21:00,39.0,0.0,0.0,0.0
107,2024-01-01 05:24:00,39.0,0.0,0.0,0.0
108,2024-01-01 05:27:00,39.0,0.0,0.0,0.0
109,2024-01-01 05:30:00,39.0,0.0,0.0,0.0
110,2024-01-01 05:33:00,39.0,0.0,0.0,0.0
111,2024-01-01 05:36:00,39.0,0.0,0.0,0.0
112,2024-01-01 05:39:00,39.0,0.0,0.0,0.0
113,2024-01-01 05:42:00,39.0,0.0,0.0,0.0
114,2024-01-01 05:45:00,39.0,0.0,0.0,0.0
115,2024-01-01 05:48:00,39.124832716953875,0.0,0.0,0.0
116,2024-01-01 05:51:00,39.8358920110249,0.0,0.0,0.0
117,2024-01-01 05:54:00,40.900188483958786,0.0,0.0,0.0
118,2024-01-01 05:57:00,40.91675892885867,0.0,0.0,0.0
119,2024-01-01 06:00:00,39.92257653881941,0.0,0.0,0.0
120,2024-01-01 06:03:00,39.0,0.0,0.0,0.0
121,2024-01-01 06:06:00,39.0,0.0,0.0,0.0
122,2024-01-01 06:09:00,39.0,0.0,0.0,0.0
123,2024-01-01 06:12:00,39.0,0.0,0.0,0.0
124,2024-01-01 06:15:00,39.0,0.0,0.0,0.0
125,2024-01-01 06:18:00,39.0,0.0,0.0,0.0
126,2024-01-01 06:21:00,39.0,0.0,0.0,0.0
127,2024-01-01 06:24:00,39.0,0.0,0.0,0.0
128,2024-01-01 06:27:00,39.0,0.0,0.0,0.0
129,2024-01-01 06:30:00,39.0,0.0,0.0,0.0
130,2024-01-01 06:33:00,39.0,0.0,0.0,0.0
131,2024-01-01 06:36:00,39.0,0.0,0.0,0.0
132,2024-01-01 06:39:00,39.0,0.0,0.0,0.0
133,2024-01-01 06:42:00,39.0,0.0,0.0,0.0
134,2024-01-01 06:45:00,39.0,0.0,0.0,0.0
135,2024-01-01 06:48:00,39.0,0.0,0.0,0.0
136,2024-01-01 06:51:00,39.0,0.0,0.0,0.0
137,2024-01-01 06:54:00,39.0,0.0,0.0,0.0
138,2024-01-01 06:57:00,39.27930410872937,0.0,0.0,0.0
139,2024-01-01 07:00:00,40.62266174339157,0.0,0.0,0.0
140,2024-01-01 07:03:00,42.99583264713166,0.0,0.0,0.0
