,Time,CGM,Meal,Insulin_Basal,Insulin_Bolus
79,2018-01-01 04:00:00,145.73860840583993,0.0,0.05,0.0
80,2018-01-01 04:03:00,141.19886895118282,0.0,0.05,0.0
81,2018-01-01 04:06:00,136.1785820557297,0.0,0.05,0.0
82,2018-01-01 04:09:00,131.36309026941242,0.0,0.05,0.0
83,2018-01-01 04:12:00,127.37647961502597,0.0,0.05,0.0
84,2018-01-01 04:15:00,124.47562140417095,0.0,0.05,0.0
85,2018-01-01 04:18:00,122.3666039340219,0.0,0.05,0.0
86,2018-01-01 04:21:00,120.63311509156281,0.0,0.05,0.0
87,2018-01-01 04:24:00,118.8588504061384,0.0,0.05,0.0
88,2018-01-01 04:27:00,116.65589117484268,0.0,0.05,0.0
89,2018-01-01 04:30:00,113.80652027448251,0.0,0.05,0.0
90,2018-01-01 04:33:00,110.34832193666878,0.0,0.05,0.0
91,2018-01-01 04:36:00,106.37569377419615,0.0,0.05,0.0
92,2018-01-01 04:39:00,101.98315708005131,0.0,0.05,0.0
93,2018-01-01 04:42:00,97.26538907777841,0.0,0.05,0.0
94,2018-01-01 04:45:00,92.31726003188803,0.0,0.05,0.0
95,2018-01-01 04:48:00,87.23387645088444,0.0,0.05,0.0
96,2018-01-01 04:51:00,82.11063196944957,0.0,0.05,0.0
97,2018-01-01 04:54:00,77.04326795920444,0.0,0.05,0.0
98,2018-01-01 04:57:00,73.50107115320567,0.0,0.05,0.0
99,2018-01-01 05:00:00,73.20842646783757,0.0,0.05,0.0
100,2018-01-01 05:03:00,73.90355282988337,0.0,0.05,0.0
101,2018-01-01 05:06:00,75.3184961022056,0.0,0.05,0.0
102,2018-01-01 05:09:00,77.1862241013425,0.0,0.05,0.0
103,2018-01-01 05:12:00,79.24083726524516,0.0,0.05,0.0
104,2018-01-01 05:15:00,81.2178326104758,0.0,0.05,0.0
105,2018-01-01 05:18:00,82.85443308267642,0.0,0.05,0.0
106,2018-01-01 05:21:00,83.8899932779521,0.0,0.05,0.0
107,2018-01-01 05:24:00,84.06648532527353,0.0,0.05,0.0
108,2018-01-01 05:27:00,83.19049232441742,0.0,0.05,0.0
109,2018-01-01 05:30:00,81.44097513718825,0.0,0.05,0.0
110,2018-01-01 05:33:00,79.5539646420861,0.0,0.05,0.0
111,2018-01-01 05:36:00,78.39223647376524,0.0,0.05,0.0
112,2018-01-01 05:39:00,78.8209444449873,0.0,0.05,0.0
113,2018-01-01 05:42:00,81.58980726227215,0.0,0.05,0.0
114,2018-01-01 05:45:00,86.7558872026882,0.0,0.05,0.0
115,2018-01-01 05:48:00,93.33182457684784,0.0,0.05,0.0
116,2018-01-01 05:51:00,100.07490970454664,0.0,0.05,0.0
117,2018-01-01 05:54:00,105.71037417152783,0.0,0.05,0.0
118,2018-01-01 05:57:00,109.06332746068082,0.0,0.05,0.0
119,2018-01-01 06:00:00,109.71365314776753,0.0,0.05,0.0
